"Map","stateName","HotelRating","Latitude","Longitude"
"25.786572, -80.2103","Florida",3,25.786572,-80.2103
"25.78668, -80.14409","Florida",3,25.78668,-80.14409
"25.78679, -80.13026","Florida",3,25.78679,-80.13026
"25.78679, -80.131984","Florida",4,25.78679,-80.131984
"25.786856, -80.131775","Florida",3,25.786856,-80.131775
"25.786926, -80.131995","Florida",3,25.786926,-80.131995
"25.78704, -80.1432","Florida",3,25.78704,-80.1432
"25.787046, -80.132994","Florida",2,25.787046,-80.132994
"25.787078, -80.134218","Florida",3,25.787078,-80.134218
"25.787087, -80.130069","Florida",4,25.787087,-80.130069
"25.78712, -80.13008","Florida",4,25.78712,-80.13008
"25.787269592, -80.212242126","Florida",1,25.787269592,-80.212242126
"25.7873, -80.13319","Florida",3,25.7873,-80.13319
"25.787460327, -80.136802673","Florida",4,25.787460327,-80.136802673
"25.787477, -80.13096","Florida",4,25.787477,-80.13096
"25.787491, -80.134602","Florida",3,25.787491,-80.134602
"25.78762, -80.14287","Florida",4,25.78762,-80.14287
"25.78771, -80.13564","Florida",3,25.78771,-80.13564
"25.787814, -80.130845","Florida",2,25.787814,-80.130845
"25.78789, -80.13206","Florida",3,25.78789,-80.13206
"25.787919998, -80.139923096","Florida",2,25.787919998,-80.139923096
"25.787927, -80.130823","Florida",2,25.787927,-80.130823
"25.78802, -80.13307","Florida",3,25.78802,-80.13307
"25.788051, -80.130617","Florida",2,25.788051,-80.130617
"25.78808, -80.13186","Florida",3,25.78808,-80.13186
"25.788183, -80.137638","Florida",3,25.788183,-80.137638
"25.78819, -80.141069","Florida",3,25.78819,-80.141069
"25.788212, -80.135361","Florida",3,25.788212,-80.135361
"25.788256, -80.1303","Florida",4,25.788256,-80.1303
"25.788293, -80.162448","Florida",3,25.788293,-80.162448
"25.788313, -80.136145","Florida",3,25.788313,-80.136145
"25.78834, -80.13084","Florida",3,25.78834,-80.13084
"25.788509369, -80.219528198","Florida",4,25.788509369,-80.219528198
"25.78854, -80.21962","Florida",4,25.78854,-80.21962
"25.78857, -80.1303","Florida",2,25.78857,-80.1303
"25.788690567, -80.134246826","Florida",4,25.788690567,-80.134246826
"25.78889, -80.13564","Florida",3,25.78889,-80.13564
"25.78897, -80.22644","Florida",3,25.78897,-80.22644
"25.789118, -80.12931","Florida",4,25.789118,-80.12931
"25.789373, -80.37645","Florida",3,25.789373,-80.37645
"25.789384, -80.130238","Florida",4,25.789384,-80.130238
"25.7894, -80.13959","Florida",3,25.7894,-80.13959
"25.78966, -80.366264","Florida",2,25.78966,-80.366264
